id,x,y,z,ts_in,ts_out
0,0.587,0.563,0.263,601,948
1,0.842,0.308,0.008,9,351
2,0.32,0.53,0.83,701,1514
3,0.613,0.913,0.237,580,855
4,0.502,0.648,0.202,444,1372
5,0.369,0.781,0.481,206,213
6,0,0.913,0.237,614,644
7,0.335,0.515,0.635,909,1254
8,0.677,0.173,0.977,810,1286
9,0.325,0.525,0.825,64,766
10,0.828,0.022,0.022,896,1455
11,0.133,0.433,0.717,150,1198
12,0.622,0.228,0.228,344,438
13,0.074,0.374,0.776,206,1675
14,0.643,0.207,0.507,229,1829
15,0.766,0.384,0.466,193,1911
16,0.335,0.515,0.515,80,354
17,0.737,0.413,0.113,675,1204
18,0.206,0.206,0.944,143,359
19,1.0,0.707,0.143,454,860
20,0.378,0.472,0.678,975,1526
21,0.707,0.707,0.443,888,1699
22,0.293,0.857,0,812,1097
23,0.208,0.508,0.642,18,1548
24,0,0.896,0,718,1134
25,0.563,0.863,0.287,25,173
26,0.235,0.915,0,384,1628
27,0.767,0.083,0.383,922,1502
28,0.45,0.15,0.7,329,484
29,1.0,1.0,0.069,906,1944
30,0.106,0.744,1,95,1755
31,0.934,0.216,0,318,556
32,0.748,0.402,0.102,536,1453
33,0,0,0.978,972,1961
34,0.803,0.347,0.503,313,1402
35,0.34,0.34,0.81,211,1024
36,0.673,0.477,0.477,344,428
37,0.881,0,0.269,961,1659
38,0.767,1.0,0.083,566,1720
39,0.298,0.298,0.852,946,1688
40,0.372,0.778,0.778,361,1230
41,0.007,1.0,1,715,1323
42,0.489,0.789,0.361,32,907
43,0.029,1.0,0.821,909,1813
44,1.0,0.773,0.077,194,694
45,0.609,0.609,0.541,49,1949
46,0.965,0.185,0.965,644,1887
47,0.647,0.203,0.647,171,1862
48,0.518,0.518,0.332,376,741
49,0.534,0.834,0.316,290,1214
50,0.726,0.124,0.424,696,1752
51,0.507,0.643,0.343,508,1122
52,0.189,0.961,0.189,468,1000
53,0.395,0.455,0.455,78,763
54,0.02,0.32,0.83,370,651
55,0.805,0.045,1.0,961,1798
56,0.558,0.592,0.258,208,1215
57,0.67,0.48,0.37,604,907
58,0.153,0.697,0.997,783,1219
59,0.831,0.831,0.319,256,680
60,0.841,0.841,0.009,0,1910
61,0.729,0.121,1.0,765,1698
62,1.0,0.848,0.002,216,666
63,0.956,0,0,812,1690
64,0.598,0.252,0.552,601,1790
65,0.715,0.135,0.135,326,1952
66,0.685,0.465,0.165,966,999
67,0.253,0.597,0.597,47,888
68,0.766,0.384,0.766,575,885
69,0.113,1.0,0.737,828,1237
70,0,0.21,0.94,250,754
71,0.632,0.332,0.518,577,588
72,0.246,0.904,0.246,377,1442
73,0.956,0.956,0.194,191,613
74,0.431,0.431,0.419,440,1845
75,0.689,0.689,0.461,720,1601
76,1.0,0.739,0.111,203,1001
77,0,0.911,0.239,892,1324
78,0,0.969,0.181,222,1877
79,0.371,0.371,0.479,984,1757
80,0.474,0.474,0.376,701,1960
81,0.712,0.438,0.138,694,796
82,0.91,0.24,0,71,1885
83,0.779,0.071,1.0,89,550
84,0.193,0.957,0.193,97,1781
85,1.0,1.0,0.056,896,943
86,0.023,0.827,0.827,572,1294
87,0.482,0.368,0.482,424,584
88,0.874,0,0.276,984,1704
89,0.419,0.431,0.431,631,1712
90,0.269,0.881,0.581,466,1750
91,0.227,0.923,0.923,109,1727
92,0.104,1.0,1,931,1686
93,0.708,1.0,0.142,645,1585
94,0.429,0.129,0.721,926,1035
95,0.885,0,0.265,895,1227
96,0.641,0.341,0.509,117,683
97,0.263,0,0.887,848,1981
98,0.095,0.095,0.755,306,1635
99,0.386,0.764,0.386,888,1684
100,0.518,0.818,0.332,136,1445
101,0.239,0.611,0.611,424,1174
102,0.566,0.584,0.566,232,1757
103,0.16,0.99,0.69,617,1221
104,0.718,0.432,0.432,435,1433
105,0.363,0.363,0.487,605,1032
106,0.742,1.0,0.108,162,980
107,0.397,0.453,0.753,286,1643
108,0.92,0,0.23,631,1886
109,0.439,0.411,0.711,414,626
110,0.16,0.99,0,731,1235
111,0.699,0.151,0.451,371,1849
112,0.628,0.522,0.628,238,1194
113,0.903,0,0,101,1199
114,0.266,0.584,0.884,992,1149
115,0.292,0.858,0.558,653,1846
116,1.0,0.131,1.0,248,1843
117,0.186,0.964,0,572,972
118,0,0.947,0,338,1964
119,0.522,0.628,0.522,463,1904
120,0.012,0.838,0.312,680,806
121,0.421,0.421,0.429,652,1523
122,0.678,0.172,0.678,792,956
123,0.39,0.46,0.69,17,1616
124,0.446,0.446,0.404,402,1357
125,0.525,0.325,0.625,20,1473
126,0.944,0.206,0.206,836,1629
127,0.554,0.854,0.296,158,1027
128,0.207,0.943,0,875,1862
129,0.72,0.13,0.72,749,1966
130,0.813,0.813,0.037,898,1812
131,0.429,0.429,0.721,849,1792
132,1.0,1.0,0.092,557,1662
133,0.218,0.218,0.632,197,1679
134,0.519,0.331,0.631,381,878
135,0,0.98,0.17,353,1175
136,1.0,0.788,0.062,446,962
137,0.735,0.115,0.415,149,1700
138,0.328,0.522,0.522,267,508
139,0.442,0.442,0.408,830,1300
140,0.162,0.688,0.162,776,1274
141,0.412,0.438,0.712,209,575
142,0.112,0.738,0.738,182,211
143,0.314,0.614,0.536,561,1914
144,0.953,0.197,0.953,399,1895
145,0.178,0.478,0.672,492,1275
146,0.42,0.43,0.72,151,1060
147,0.255,0.555,0.595,198,540
148,0.302,0.548,0.548,293,496
149,0.34,0.81,0.81,646,1276
150,0.757,0.393,0.393,299,788
151,0.346,0.504,0.346,931,1685
152,0.551,0.299,0.299,984,1949
153,0.612,0.538,0.612,853,1354
154,0.804,0.346,0.046,104,882
155,0.779,0.071,0.779,490,1388
156,0.794,0.356,0.794,153,382
157,0.162,0.988,0.988,822,1349
158,0.769,0.381,0.381,636,1832
159,0.672,0.178,0.478,476,1707
160,0.782,0.068,0.782,797,1853
161,0.584,0.584,0.566,4,1134
162,0.232,0.232,0.918,271,1360
163,0.787,0.363,0.787,366,1282
164,0.277,0.573,0.277,910,927
165,0.662,0.488,0.362,160,1093
166,0.686,0.686,0.464,983,1766
167,1.0,1.0,0.14,963,984
168,0.828,0.322,0.828,342,952
169,0.472,0.678,0.678,200,512
170,0.195,0.955,0.655,895,1789
171,0.911,0.239,0.911,734,1436
172,0.063,0.787,0.363,487,1183
173,0.646,0.646,0.504,342,1894
174,1.0,1.0,0.089,694,1622
175,0.37,0.78,0.37,131,1902
176,0.291,0.859,0.291,687,1665
177,0.733,0.117,0.733,903,935
178,0.762,0.088,0.762,853,906
179,0.513,0.337,0.337,810,884
180,0.435,0.435,0.715,551,575
181,0.997,0,0,211,1112
182,0.663,0.487,0.487,676,1610
183,0.703,0.703,0.147,761,1677
184,0.246,0.904,0,386,1574
185,0.26,0.89,0.26,796,1796
186,0.136,0.436,0.714,308,958
187,0.224,0.626,0.524,838,1179
188,0.197,0.953,0.197,705,850
189,0.739,0.411,0.439,424,635
190,0.371,0.779,0.071,899,1117
191,0.481,0.181,0.669,842,1650
192,0.261,0.889,0.889,20,1985
193,0.049,0.801,0.349,274,1661
194,0,0.975,0,367,1896
195,0.992,0.158,0.158,170,1282
196,0.104,0.404,0.746,426,1450
197,0.565,0.285,0.865,296,1680
198,0.747,0.403,0.447,390,1357
199,0.418,0.732,0.432,812,1047
200,0.19,0.96,0.19,908,945
201,0.731,0.431,0.419,652,1435
202,0.492,0.792,0.358,894,1338
203,0.543,0.307,0.307,93,1924
204,0.912,0,0.238,194,1375
205,0.388,0.462,0.462,340,1286
206,0.229,0.529,0.621,359,1497
207,0.711,0.139,1.0,333,375
208,0.394,0.756,0.094,858,1672
209,0.372,0.778,0.778,776,1461
210,0.362,0.488,0.488,110,181
211,0.398,0.752,0.098,672,1837
212,0.171,0.679,0.679,717,1626
213,0.452,0.398,0.398,894,1874
214,0.838,0.312,0.312,939,1915
215,0.266,0.884,0,595,1025
216,0.785,0.065,0.065,553,891
217,0.399,0.751,0.399,388,1800
218,0.17,0.68,0.98,780,1392
219,0.761,0.089,1.0,17,1356
220,0.401,0.401,0.449,712,852
221,0,0,0.899,433,1751
222,0.18,0,0.97,76,855
223,0.021,1.0,0.829,819,886
224,0.393,0.093,0.757,940,1133
225,0.987,0.163,0.987,771,1749
226,0.715,0.715,0.135,589,713
227,0.45,0.4,0.45,244,989
228,0.917,0.917,0.233,995,1301
229,0.856,0,0,579,1466
230,0.733,0.417,0.433,69,492
231,0.265,0,0.885,150,551
232,0.768,0.768,0.382,882,915
233,1.0,0.008,0.842,451,1745
234,0.41,0.74,0.44,754,1697
235,0.187,0,0.963,484,1858
236,0.646,0.204,0.946,276,412
237,0.96,0.19,0.96,518,1011
238,0.331,0.819,0.519,59,1383
239,0.005,0.845,0.845,534,1694
240,1.0,0.709,0.141,45,796
241,0.584,0.284,0.566,359,1036
242,0.442,0.408,0.708,18,763
243,0.573,0.277,0.277,571,763
244,1.0,0.107,1.0,374,1092
245,0.505,0.205,0.645,129,1441
246,1.0,1.0,0.095,997,1742
247,0.615,0.915,0.235,286,1455
248,1.0,1.0,0.116,422,1863
249,0.293,0.857,0.857,754,1151
250,0.877,0.577,0.273,205,285
251,1.0,0.73,0.12,148,1436
252,0.552,0.552,0.598,696,1447
253,0.031,1.0,1,606,735
254,0.178,0,0.972,546,895
255,0,0.991,0,495,1580
256,0.698,0.698,0.452,953,1308
257,0.831,0.831,0.319,753,1509
258,0.425,0.425,0.725,776,1646
259,0.326,0.524,0.524,815,1569
260,0.489,0.661,0.189,91,1209
261,0.312,0.838,0.312,700,862
262,0.262,0.262,0.588,408,491
263,0.686,0.464,0.164,652,1856
264,0.276,0.874,0.276,101,1781
265,0.71,0.14,0.71,680,1056
266,0.694,0.694,0.456,948,1181
267,0.736,0.114,0.736,789,975
268,0.458,0.392,0.392,990,1851
269,0.572,0.278,0.278,668,1351
270,0.146,0.446,0.704,890,1590
271,1.0,0.749,0.101,120,247
272,0.262,0.262,0.588,756,1530
273,0,0.98,0,995,1525
274,1.0,0.079,1.0,898,1887
275,0.065,1.0,1,558,1636
276,0.258,0.592,0.558,295,799
277,0.89,0.26,0,779,1386
278,0,0.925,0,657,1386
279,0.291,0.559,0.559,426,1750
280,0.689,0.989,0.161,833,1948
281,0.937,0.637,0.213,494,1876
282,0.184,0.666,0.666,244,1974
283,0.234,0.916,0.234,964,1828
284,0.472,0.678,0.472,217,1102
285,0.508,0.642,0.208,586,906
286,0.584,0.566,0.566,979,1768
287,0.778,0.072,0.072,134,926
288,0.533,0.317,0.833,103,272
289,0.494,0.494,0.656,845,1361
290,0.231,0.919,0.619,962,1326
291,0.69,0.46,0.69,526,1042
292,1.0,1.0,0.081,378,1674
293,0.517,0.517,0.333,94,160
294,0,0.926,0,934,1895
295,0.981,0.681,0.169,139,533
296,0.713,0.437,0.437,735,1173
297,0.563,0.587,0.287,8,785
298,0.033,1.0,1,262,1859
299,0.737,1.0,0.113,210,325
300,0.747,0.103,0.747,166,1157
301,0.344,0.506,0.506,565,701
302,0.693,0.157,0.693,523,641
303,0.149,1.0,0.701,263,662
304,0.355,0.795,0.055,930,1111
305,0.168,0.982,0,163,1422
306,0.377,0.077,0.773,866,1274
307,0.182,0.668,0.668,443,1502
308,0.568,0.582,0.568,27,1615
309,0.353,0.497,0.797,328,1547
310,0.987,0.163,0,259,1072
311,0.382,0.682,0.468,230,1075
312,0.781,0.781,0.069,697,1557
313,0.701,0.449,0.701,985,1199
314,0.281,0.869,0.869,833,1459
315,0.499,0.351,0.499,601,1845
316,0.709,0.441,0.441,856,1600
317,0,0.966,0,368,618
318,0.354,0.054,0.796,768,1066
319,0.807,0.043,1.0,307,1017
320,0.41,0.44,0.41,303,590
321,0.265,0.265,0.585,392,841
