id,x,y,z,ts_in,ts_out
0,0.876,0.287,0.805,608,1503
1,0.799,0.38,0.264,197,214
2,0.459,0.123,0.775,670,1323
3,0.004,0.46,0.156,640,1094
4,0.432,0.376,0.228,170,336
5,0.026,0.522,0.388,801,1094
6,0.096,0.686,0.14,718,921
7,0.706,0.003,0.471,101,1072
8,0.248,0.601,0.339,97,185
9,0.37,0.116,0.971,328,1757
10,0.363,0.019,0.799,128,1018
11,0.56,0.368,0.584,59,448
12,0.311,0.328,0.938,737,1750
13,0.565,0.867,0.363,492,1289
14,0.368,0.063,0.672,857,1362
15,0.759,0.868,0.514,834,1699
16,0.819,0.958,0.187,291,411
17,0.473,0.31,0.343,980,1040
18,0.486,0.221,0.286,918,1310
19,0.934,0.928,0.799,119,878
20,0.132,0.459,0.672,351,1888
21,0.494,0.393,0.179,366,1491
22,0.177,0.059,0.838,883,1564
23,0.696,0.355,0.93,330,1684
24,0.417,0.489,0.132,419,673
25,0.411,0.266,0.829,193,378
26,0.812,0.353,0.563,453,1160
27,0.276,0.239,0.427,991,1811
28,0.297,0.345,0.451,101,1428
29,0.277,0.165,0.742,467,592
30,0.264,0.461,0.819,935,1762
31,0.8,0.752,0.612,106,1419
32,0.12,0.997,0.993,344,779
33,0.144,0.2,0.424,486,1424
34,0.714,0.393,0.392,693,868
35,0.518,0.807,0.945,793,1471
36,0.872,0.019,0.231,420,996
37,0.195,0.236,0.399,521,939
38,0.4,0.833,0.205,142,1820
39,0.6,0.72,0.689,693,1339
40,0.062,0.974,0.729,139,625
41,0.973,0.02,0.632,97,563
42,0.447,0.475,0.557,147,1363
43,0.584,0.028,0.56,445,1610
44,0.122,0.881,0.724,853,1606
45,0.447,0.286,0.73,828,1879
46,0.55,0.161,0.595,790,1958
47,0.942,0.652,0.461,715,1519
48,0.851,0.587,0.759,497,1019
49,0.773,0.811,0.595,392,1201
50,0.91,0.027,0.804,13,1929
51,0.738,0.948,0.796,892,1521
52,0.566,0.903,0.566,860,1893
53,0.384,0.072,0.41,793,1641
54,0.101,0.541,0.085,565,690
55,0.041,0.223,0.846,880,1324
56,0.123,0.161,0.523,212,1490
57,0.65,0.81,0.684,607,1970
58,0.971,0.163,0.822,892,1732
59,0.662,0.987,0.667,454,527
60,0.123,0.578,0.2,775,1603
61,0.861,0.734,0.277,505,520
62,0.674,0.402,0.296,452,956
63,0.263,0.965,0.795,36,725
64,0.908,0.224,0.937,500,802
65,0.546,0.29,0.113,638,1352
66,0.102,0.593,0.358,821,1252
67,0.926,0.684,0.225,702,1225
68,0.285,0.882,0.969,661,930
69,0.583,0.358,0.244,955,1292
70,0.752,0.264,0.116,210,1794
71,0.392,0.394,0.189,15,1589
72,0.659,0.163,0.807,900,1649
73,0.718,0.019,0.678,364,1206
74,0.132,0.128,0.023,103,933
75,0.273,0.313,0.105,483,1499
76,0.361,0.513,0.532,368,720
77,0.923,0.627,0.999,235,1075
78,0.236,0.006,0.238,727,1371
79,0.22,0.061,0.988,473,1067
80,0.501,0.865,0.332,298,1743
81,0.122,0.384,0.557,505,1949
82,0.514,0.495,0.42,294,1353
83,0.206,0.196,0.486,523,1139
84,0.877,0.238,0.589,126,1648
85,0.102,0.331,0.652,281,727
86,0.503,0.424,0.44,841,1765
87,0.743,0.47,0.151,769,1738
88,0.412,0.788,0.825,9,1004
89,0.928,0.737,0.004,610,1974
90,0.668,0.082,0.43,657,1138
91,0.588,0.318,0.736,750,1070
92,0.95,0.118,0.445,820,1832
93,0.385,0.423,0.995,677,731
94,0.943,0.123,0.183,913,921
95,0.282,0.455,0.771,649,710
96,0.812,0.542,0.786,727,804
97,0.093,0.34,0.545,959,1373
98,0.213,0.525,0.435,30,748
99,0.499,0.677,0.249,273,446
100,0.571,0.858,0.214,641,1565
101,0.138,0.658,0.358,738,1770
102,0.524,0.365,0.582,669,1328
103,0.936,0.888,0.968,638,947
104,0.561,0.994,0.971,397,776
105,0.383,0.375,0.891,172,1634
106,0.081,0.377,0.031,192,259
107,0.914,0.426,0.136,324,1420
108,0.306,0.669,0.35,652,1374
109,0.559,0.205,0.759,770,1507
110,0.549,0.838,0.676,598,1995
111,0.419,0.716,0.448,1,54
112,0.618,0.561,0.117,382,1850
113,0.065,0.388,0.607,502,1828
114,0.456,0.859,0.055,898,1115
115,0.217,0.594,0.446,565,1973
116,0.482,0.446,0.161,332,1977
117,0.447,0.713,0.605,177,761
118,0.413,0.376,0.947,700,1562
119,0.33,0.115,0.558,837,1126
120,0.492,0.133,0.489,421,1539
121,0.854,0.067,0.595,578,1115
122,0.747,0.303,0.48,333,1724
123,0.919,0.671,0.546,835,1747
124,0.571,0.996,0.827,793,1163
125,0.462,0.863,0.972,835,1502
126,0.812,0.193,0.619,440,724
127,0.899,0.385,0.829,788,1293
128,0.506,0.212,0.819,756,1100
129,0.597,0.139,0.376,652,959
130,0.594,0.29,0.841,525,531
131,0.729,0.283,0.678,450,1407
132,0.541,0.922,0.407,18,59
133,0.794,0.537,0.572,901,1880
134,0.368,0.7,0.098,362,1488
135,0.012,0.262,0.544,332,1285
136,0.101,0.887,0.512,453,912
137,0.28,0.889,0.192,692,1996
138,0.701,0.115,0.887,683,1601
139,0.495,0.547,0.479,231,1834
140,0.208,0.885,0.47,836,1333
141,0.52,0.363,0.02,38,1086
142,0.297,0.418,0.48,932,1035
143,0.643,0.504,0.126,60,135
144,0.818,0.371,0.306,550,1545
145,0.489,0.928,0.134,491,1617
146,0.861,0.555,0.042,247,1166
147,0.546,0.653,0.474,612,1686
148,0.491,0.062,0.415,926,1762
149,0.897,0.781,0.333,286,1508
150,0.064,0.38,0.208,122,1107
151,0.704,0.607,0.54,604,1806
152,0.763,0.743,0.498,965,1980
153,0.102,0.215,0.354,752,1415
154,0.331,0.314,0.122,916,1571
155,0.497,0.019,0.052,708,999
156,0.445,0.408,0.903,240,1197
157,0.012,0.973,0.609,598,1482
158,0.737,0.962,0.948,595,1967
159,0.782,0.441,0.646,268,1580
160,0.771,0.453,0.66,246,644
161,0.36,0.263,0.761,849,1128
162,0.035,0.608,0.403,912,1894
163,0.52,0.521,0.519,233,866
164,0.063,0.865,0.968,260,1170
165,0.312,0.822,0.647,295,680
166,0.172,0.401,0.289,163,1370
167,0.924,0.266,0.043,665,1524
168,0.16,0.119,0.648,767,1297
169,0.003,0.047,0.165,642,1427
170,0.372,0.962,0.967,624,670
171,0.615,0.453,0.467,745,1487
172,0.345,0.07,0.425,846,1456
173,0.25,0.701,0.084,734,1894
174,0.15,0.377,0.168,487,1436
175,0.147,0.211,0.777,65,1837
176,0.46,0.686,0.987,742,1465
177,0.468,0.019,0.413,469,900
178,0.449,0.221,0.54,989,1315
179,0.334,0.907,0.573,217,648
180,0.816,0.37,0.291,270,1325
181,0.692,0.779,0.942,407,1511
182,0.916,0.693,0.836,343,1805
183,0.774,0.596,0.028,241,882
184,0.441,0.261,0.37,768,1412
185,0.944,0.216,0.821,552,1724
186,0.702,0.336,0.882,725,1315
187,0.03,0.622,0.268,302,436
188,0.745,0.092,0.231,120,1045
189,0.29,0.734,0.774,181,1351
190,0.654,0.455,0.537,160,1461
191,0.608,0.009,0.945,969,975
192,0.503,0.42,0.289,405,1913
193,0.172,0.812,0.266,553,1003
194,0.458,0.002,0.452,925,1035
195,0.658,0.643,0.505,938,1500
196,0.87,0.39,0.959,424,754
197,0.616,0.926,0.154,566,1550
198,0.789,0.922,0.245,381,1356
199,0.912,0.28,0.377,779,1582
200,0.625,0.956,0.373,221,1124
201,0.142,0.109,0.225,850,1522
202,0.919,0.645,0.146,395,603
203,0.595,0.235,0.279,491,788
204,0.824,0.601,0.883,929,1291
205,0.652,0.732,0.586,737,1397
206,0.021,0.97,0.557,244,1762
207,0.869,0.768,0.83,333,1494
208,0.115,0.974,0.918,584,730
209,0.45,0.661,0.401,259,1260
210,0.037,0.244,0.081,600,1356
211,0.621,0.28,0.155,210,1444
212,0.584,0.879,0.104,72,1841
213,0.01,0.039,0.269,97,1924
214,0.412,0.528,0.764,693,1714
215,0.787,0.368,0.559,158,186
216,0.658,0.052,0.723,980,1442
217,0.579,0.384,0.131,360,1847
218,0.541,0.097,0.835,684,1909
219,0.367,0.423,0.236,518,999
220,0.896,0.009,0.525,391,451
221,0.443,0.411,0.412,222,633
222,0.177,0.548,0.221,554,1039
223,0.268,0.425,0.032,15,287
224,0.815,0.878,0.951,795,1594
225,0.477,0.114,0.318,916,1552
226,0.931,0.514,0.894,765,1884
227,0.22,0.559,0.864,358,502
228,0.06,0.583,0.324,802,1825
229,0.968,0.138,0.522,631,1599
230,0.175,0.671,0.865,54,1855
231,0.022,0.366,0.876,821,846
232,0.923,0.563,0.297,236,619
233,0.921,0.799,0.578,908,1894
234,0.436,0.735,0.331,31,1605
235,0.177,0.745,0.68,38,1971
236,0.58,0.81,0.437,493,783
237,0.257,0.93,0.537,725,1058
238,0.521,0.902,0.237,379,1475
239,0.627,0.106,0.928,762,1464
240,0.016,0.083,0.177,413,1079
241,0.031,0.288,0.147,739,764
242,0.12,0.243,0.675,771,927
243,0.733,0.541,0.293,358,1566
244,0.319,0.923,0.824,710,1911
245,0.706,0.34,0.045,229,1187
246,0.369,0.845,0.653,805,1330
247,0.842,0.848,0.003,101,1194
248,0.111,0.372,0.855,182,1919
249,0.004,0.755,0.637,956,1465
250,0.531,0.238,0.801,551,1159
251,0.857,0.695,0.819,698,1617
252,0.399,0.375,0.744,433,434
253,0.917,0.617,0.673,682,1366
254,0.796,0.245,0.702,501,1428
255,0.286,0.626,0.681,157,721
256,0.495,0.277,0.149,861,1933
257,0.266,0.781,0.155,640,1006
258,0.625,0.511,0.228,914,1621
259,0.932,0.971,0.874,705,1280
260,0.114,0.221,0.598,29,41
261,0.233,0.02,0.188,720,1977
262,0.465,0.245,0.388,8,1421
263,0.848,0.421,0.029,856,1250
264,0.25,0.465,0.467,674,1393
265,0.047,0.803,0.617,878,1570
266,0.153,0.742,0.205,383,1596
267,0.694,0.905,0.201,222,429
268,0.941,0.252,0.372,800,1394
269,0.184,0.134,0.258,617,1996
270,0.092,0.322,0.034,405,1833
271,0.68,0.28,0.985,417,1713
272,0.439,0.071,0.646,297,414
273,0.15,0.909,0.229,215,243
274,0.106,0.201,0.141,982,1542
275,0.777,0.385,0.222,463,1987
276,0.91,0.653,0.603,758,1556
277,0.827,0.171,0.355,641,1791
278,0.443,0.945,0.037,646,667
279,0.155,0.083,0.946,122,253
280,0.008,0.6,0.674,769,889
281,0.114,0.122,0.621,780,1790
282,0.461,0.562,0.917,644,850
283,0.063,0.457,0.87,61,708
284,0.309,0.583,0.365,956,1891
285,0.084,0.458,0.199,215,1025
286,0.583,0.6,0.149,1000,1374
287,0.861,0.752,0.995,971,1151
288,0.474,0.209,0.119,100,1329
289,0.397,0.151,0.153,325,1578
290,0.153,0.94,0.035,365,551
291,0.519,0.089,0.959,45,1715
292,0.327,0.191,0.714,269,520
293,0.61,0.676,0.53,916,976
294,0.341,0.201,0.537,98,1127
295,0.397,0.699,0.985,868,1926
296,0.115,0.578,0.157,359,382
297,0.594,0.419,0.429,317,508
298,0.224,0.243,0.515,835,1957
299,0.113,0.784,0.675,490,1633
300,0.606,0.738,0.844,67,447
301,0.737,0.958,0.915,916,1625
302,0.984,0.975,0.286,381,767
303,0.187,0.409,0.668,708,1336
304,0.905,0.503,0.107,309,563
305,0.652,0.211,0.651,40,1765
306,0.685,0.535,0.995,340,1989
307,0.23,0.139,0.963,20,892
308,0.0,0.692,0.657,604,950
309,0.878,0.867,0.658,172,882
310,0.214,0.895,0.929,239,900
311,0.706,0.177,0.685,818,1591
312,0.552,0.161,0.837,622,1804
313,0.721,0.874,0.287,835,1522
314,0.01,0.619,0.532,537,786
315,0.635,0.283,0.26,889,896
316,0.744,0.723,0.879,74,1545
317,0.688,0.196,0.529,835,989
318,0.363,0.975,0.539,102,707
319,0.707,0.211,0.312,775,777
320,0.427,0.601,0.836,971,1139
321,0.042,0.383,0.313,49,1008
322,0.226,0.385,0.264,894,1175
323,0.691,0.547,0.222,290,1662
324,0.973,0.96,0.683,499,1890
325,0.963,0.309,0.89,207,259
326,0.516,0.971,0.54,934,1507
327,0.505,0.34,0.36,740,1695
328,0.136,0.387,0.027,454,967
329,0.962,0.607,0.736,561,1356
330,0.174,0.344,0.411,259,1702
331,0.321,0.206,0.74,572,895
332,0.029,0.6,0.004,154,398
333,0.097,0.609,0.473,757,1083
334,0.081,0.756,0.954,171,939
335,0.148,0.544,0.441,74,1164
336,0.915,0.77,0.067,521,1482
337,0.907,0.531,0.928,744,840
338,0.256,0.993,0.135,814,1265
339,0.152,0.245,0.087,888,1445
340,0.757,0.877,0.56,855,1688
341,0.933,0.483,0.75,172,821
342,0.054,0.937,0.876,663,966
343,0.034,0.82,0.726,621,836
344,0.828,0.726,0.625,788,969
345,0.131,0.854,0.186,573,954
346,0.418,0.922,0.371,11,347
347,0.027,0.751,0.993,721,1847
348,0.783,0.771,0.121,951,1881
349,0.401,0.173,0.263,938,1811
350,0.763,0.422,0.156,459,1676
351,0.419,0.409,0.71,219,1307
352,0.184,0.633,0.97,222,1897
353,0.427,0.735,0.097,882,1240
354,0.086,0.344,0.021,158,239
355,0.106,0.088,0.491,349,1168
356,0.315,0.449,0.413,588,1094
357,0.707,0.263,0.487,856,1194
358,0.487,0.549,0.704,574,1245
359,0.826,0.942,0.307,377,1674
360,0.206,0.291,0.838,406,1237
361,0.034,0.808,0.1,277,623
362,0.544,0.276,0.485,926,954
363,0.034,0.925,0.856,178,1431
364,0.626,0.672,0.794,298,899
365,0.226,0.848,0.07,351,1004
366,0.478,0.587,0.882,800,1494
367,0.549,0.181,0.53,267,1840
368,0.069,0.102,0.128,276,1077
369,0.534,0.981,0.464,173,1951
370,0.683,0.482,0.405,814,1507
371,0.858,0.423,0.083,400,669
372,0.082,0.487,0.571,543,1486
373,0.505,0.321,0.305,232,1296
374,0.527,0.671,0.522,578,1901
375,0.462,0.254,0.929,365,1654
376,0.291,0.918,0.124,618,990
377,0.138,0.465,0.918,461,2000
378,0.996,0.73,0.07,111,391
379,0.149,0.365,0.685,599,1610
380,0.021,0.308,0.054,66,998
381,0.921,0.267,0.234,98,431
382,0.635,0.184,0.604,609,1349
383,0.645,0.839,0.553,278,1574
384,0.764,0.158,0.086,753,1924
385,0.406,0.833,0.57,631,828
386,0.215,0.117,0.475,671,1061
387,0.055,0.028,0.689,677,1370
388,0.65,0.889,0.95,795,1754
389,0.16,0.359,0.237,968,1288
390,0.47,0.363,0.371,355,1917
391,0.412,0.925,0.963,261,1937
392,0.815,0.294,0.962,87,1258
393,0.284,0.681,0.767,62,474
394,0.642,0.607,0.819,15,1044
395,0.389,0.938,0.463,146,1665
396,0.968,0.304,0.157,424,1525
397,0.934,0.934,0.621,858,1593
398,0.535,0.246,0.51,782,1368
399,0.446,0.573,0.704,706,924
400,0.795,0.637,0.442,85,1338
401,0.685,0.592,0.631,341,1657
402,0.956,0.877,0.376,121,1338
403,0.033,0.864,0.21,152,524
404,0.704,0.663,0.33,161,948
405,0.118,0.254,0.75,842,856
406,0.15,0.514,0.573,478,1965
407,0.791,0.321,0.002,363,1770
408,0.55,0.26,0.05,93,1883
409,0.365,0.491,0.629,961,1168
410,0.579,0.569,0.348,155,1941
411,0.312,0.366,0.583,157,1718
412,0.184,0.397,0.406,446,1832
413,0.842,0.319,0.111,905,1888
414,0.541,0.147,0.305,230,382
415,0.479,0.29,0.203,117,1933
416,0.42,0.556,0.813,53,1452
417,0.399,0.205,0.406,602,838
418,0.357,0.725,0.733,454,501
419,0.149,0.991,0.82,305,1399
420,0.868,0.322,0.916,941,1510
421,0.78,0.425,0.21,526,1923
422,0.511,0.316,0.702,154,1494
423,0.165,0.487,0.311,802,1907
424,0.109,0.138,0.751,413,1633
425,0.364,0.652,0.063,595,770
426,0.872,0.439,0.668,833,1114
427,0.651,0.373,0.93,444,859
428,0.489,0.642,0.421,977,1663
429,0.019,0.306,0.244,25,1842
430,0.388,0.254,0.975,215,520
431,0.233,0.066,0.715,509,1383
432,0.198,0.612,0.467,671,1369
433,0.395,0.285,0.059,7,1788
434,0.842,0.817,0.352,480,783
435,0.111,0.401,0.288,939,1477
436,0.336,0.869,0.384,743,1787
437,0.03,0.889,0.885,551,794
438,0.709,0.324,0.925,25,1956
439,0.483,0.794,0.503,105,438
440,0.179,0.417,0.083,461,1375
441,0.769,0.933,0.372,901,1344
442,0.127,0.13,0.528,452,1980
443,0.051,0.061,0.559,171,1213
444,0.93,0.709,0.586,578,1196
445,0.483,0.164,0.444,712,897
446,0.327,0.163,0.115,127,406
447,0.937,0.238,0.97,442,1152
448,0.006,0.088,0.201,677,923
449,0.1,0.369,0.766,972,1705
450,0.449,0.415,0.857,925,1258
451,0.025,0.535,0.978,42,1885
452,0.965,0.749,0.043,87,414
453,0.596,0.757,0.593,88,613
454,0.076,0.914,0.417,3,1543
455,0.876,0.992,0.538,490,1998
456,0.382,0.16,0.791,891,1847
457,0.791,0.634,0.563,760,1114
458,0.237,0.377,0.823,44,438
459,0.346,0.636,0.573,239,413
460,0.307,0.741,0.665,2,1677
461,0.212,0.582,0.322,3,406
462,0.071,0.203,0.583,724,748
463,0.139,0.419,0.0,600,611
464,0.308,0.149,0.839,673,1157
465,0.478,0.411,0.996,407,1005
466,0.449,0.913,0.984,134,421
467,0.794,0.247,0.121,0,1579
468,0.972,0.55,0.405,300,430
469,0.88,0.778,0.531,497,1084
470,0.679,0.412,0.591,339,836
471,0.037,0.158,0.287,475,1710
472,0.981,0.578,0.79,954,1695
473,0.213,0.616,0.722,644,1080
474,0.038,0.479,0.482,73,691
475,0.864,0.928,0.986,517,1740
476,0.846,0.49,0.162,336,421
477,0.069,0.006,0.031,205,1314
478,0.924,0.562,0.441,442,813
479,0.478,0.002,0.577,945,1599
480,0.307,0.854,0.646,244,715
481,0.199,0.044,0.026,345,531
482,0.48,0.923,0.729,725,1828
483,0.489,0.733,0.152,915,1615
484,0.117,0.821,0.891,826,1300
485,0.275,0.598,0.668,214,702
486,0.525,0.53,0.511,201,1102
487,0.41,0.773,0.812,898,1904
488,0.296,0.128,0.512,319,419
489,0.497,0.191,0.974,272,1296
490,0.692,0.214,0.732,370,559
491,0.431,0.791,0.21,24,1031
492,0.419,0.746,0.229,265,1057
493,0.145,0.621,0.903,972,1519
494,0.746,0.248,0.492,337,1497
495,0.207,0.193,0.795,177,512
