id,x,y,z,ts_in,ts_out
0,0.764,0.07,0.181,375,723
1,0.344,0.33,0.22,72,251
2,0.328,0.48,0.421,112,1522
3,0.026,0.107,0.219,788,1608
4,0.232,0.552,0.01,217,548
5,0.66,0.45,0.692,183,903
6,0.774,0.931,0.247,869,1600
7,0.338,0.245,0.538,691,1425
8,0.721,0.719,0.91,510,929
9,0.48,0.586,0.556,433,637
10,0.946,0.282,0.253,62,1353
11,0.772,0.859,0.608,51,991
12,0.216,0.443,0.668,993,1911
13,0.262,0.156,0.46,317,870
14,0.513,0.727,0.153,496,1869
15,0.13,0.412,0.524,953,1801
16,0.818,0.202,0.957,620,1994
17,0.35,0.613,0.195,68,310
18,0.763,0.531,0.416,546,1717
19,0.796,0.985,0.755,902,1945
20,0.88,0.168,0.83,655,854
21,0.032,0.527,0.278,479,1572
22,0.349,0.851,0.97,463,1306
23,0.633,0.85,0.904,804,1478
24,0.593,0.756,0.901,830,1366
25,0.664,0.892,0.098,493,1718
26,0.196,0.132,0.299,889,1957
27,0.045,0.368,0.985,333,1356
28,0.831,0.115,0.836,861,1084
29,0.542,0.236,0.692,110,1005
30,0.236,0.123,0.005,405,976
31,0.404,0.345,0.79,670,1122
32,0.662,0.785,0.813,557,1490
33,0.262,0.327,0.316,396,1051
34,0.319,0.916,0.395,984,1360
35,0.193,0.168,0.762,860,1578
36,0.656,0.194,0.471,932,1867
37,0.885,0.452,0.418,558,770
38,0.241,0.155,0.826,555,1247
39,0.99,0.147,0.31,417,1120
40,0.645,0.69,0.695,721,784
41,0.754,0.296,0.84,756,1961
42,0.044,0.126,0.298,157,615
43,0.833,0.696,0.963,223,1644
44,0.923,0.302,0.81,921,1129
45,0.321,0.379,0.516,919,1515
46,0.528,0.76,0.944,264,1095
47,0.202,0.546,0.835,149,1117
48,0.02,0.57,0.697,343,992
49,0.606,0.117,0.092,909,1866
50,0.308,0.891,0.269,279,362
51,0.844,0.07,0.267,43,1249
52,0.419,0.463,0.177,796,1065
53,0.161,0.259,0.084,391,1013
54,0.712,0.845,0.686,761,1848
55,0.738,0.397,0.591,500,1117
56,0.526,0.42,0.473,694,1109
57,0.022,0.671,0.886,254,1917
58,0.358,0.409,0.763,974,1108
59,0.82,0.2,0.717,657,1425
60,0.636,0.441,0.887,322,1304
61,0.766,0.675,0.055,26,1567
62,0.563,0.525,0.151,868,1204
63,0.037,0.733,0.161,522,1936
64,0.693,0.233,0.604,971,1753
65,0.919,0.548,0.244,249,344
66,0.496,0.015,0.016,122,784
67,0.17,0.559,0.357,605,761
68,0.964,0.593,0.544,585,1795
69,0.349,0.813,0.767,891,1224
70,0.484,0.238,0.773,429,1896
71,0.036,0.748,0.6,743,1023
72,0.414,0.926,0.773,363,1462
73,0.585,0.4,0.702,635,1259
74,0.794,0.544,0.98,525,669
75,0.31,0.802,0.288,177,488
76,0.568,0.581,0.162,229,285
77,0.51,0.056,0.086,385,466
78,0.178,0.988,0.729,230,561
79,0.666,0.514,0.239,975,1408
80,0.577,0.208,0.008,274,1385
81,0.456,0.354,0.765,308,1719
82,0.757,0.852,0.396,847,1794
83,0.527,0.508,0.146,190,1556
84,0.376,0.227,0.696,267,1094
85,0.799,0.105,0.724,581,1709
86,0.239,0.41,0.262,633,1651
87,0.355,0.546,0.287,773,1496
88,0.241,0.787,0.774,874,1911
89,0.029,0.728,0.28,596,1430
90,0.376,0.366,0.61,933,1890
91,0.966,0.048,0.224,973,1526
92,0.605,0.016,0.861,310,1873
93,0.48,0.787,0.369,447,915
94,0.764,0.279,0.51,684,1422
95,0.599,0.268,0.199,712,1995
96,0.622,0.176,0.038,313,427
97,0.969,0.42,0.678,608,1869
98,0.248,0.733,0.473,414,609
99,0.404,0.543,0.639,729,1822
100,0.596,0.945,0.904,100,432
101,0.093,0.192,0.011,126,1967
102,0.856,0.851,0.551,749,1581
103,0.731,0.347,0.326,660,1675
104,0.431,0.248,0.203,928,1957
105,0.44,0.87,0.729,393,1736
106,0.433,0.33,0.238,960,1351
107,0.18,0.851,0.831,309,393
108,0.341,0.347,0.677,452,1246
109,0.621,0.903,0.461,932,1282
110,0.282,0.236,0.975,695,1151
111,0.983,0.844,0.999,448,1703
112,0.879,0.668,0.305,64,485
113,0.418,0.986,0.897,882,1454
114,0.688,0.962,0.254,765,1180
115,0.335,0.138,0.305,540,1963
116,0.173,0.076,0.22,878,1068
117,0.58,0.648,0.313,976,1387
118,0.016,0.019,0.17,374,1768
119,0.679,0.303,0.97,130,1535
120,0.519,0.555,0.527,256,1223
121,0.264,0.105,0.813,187,1951
122,0.631,0.764,0.882,11,1687
123,0.433,0.926,0.125,309,899
124,0.788,0.276,0.47,693,1406
125,0.594,0.362,0.213,545,1381
126,0.838,0.938,0.582,329,1003
127,0.467,0.27,0.646,968,1707
128,0.236,0.694,0.445,398,1468
129,0.127,0.293,0.32,157,843
130,0.102,0.652,0.069,972,1265
131,0.453,0.883,0.614,147,1624
132,0.485,0.916,0.84,63,1151
133,0.945,0.463,0.049,576,1191
134,0.802,0.869,0.871,497,1950
135,0.802,0.407,0.772,773,1739
136,0.725,0.643,0.725,614,1467
137,0.736,0.112,0.933,362,540
138,0.637,0.288,0.521,661,769
139,0.487,0.043,0.203,757,1150
140,0.375,0.114,0.934,647,1073
141,0.641,0.843,0.796,178,1767
142,0.699,0.603,0.114,363,807
143,0.845,0.054,0.792,848,1530
144,0.012,0.516,0.122,133,981
145,0.571,0.899,0.097,131,1876
146,0.608,0.525,0.075,576,857
147,0.825,0.586,0.086,260,459
148,0.763,0.421,0.584,67,1343
149,0.0,0.535,0.791,764,1368
150,0.207,0.044,0.542,55,359
151,0.715,0.242,0.901,712,1587
152,0.282,0.924,0.429,730,1687
153,0.814,0.432,0.738,851,1168
154,0.284,0.239,0.175,674,1672
155,0.679,0.192,0.481,264,423
156,0.752,0.147,0.524,87,942
157,0.597,0.434,0.431,258,940
158,0.808,0.613,0.189,572,722
159,0.062,0.84,0.155,490,875
160,0.197,0.354,0.684,786,1401
161,0.936,0.618,0.543,13,365
162,0.62,0.343,0.925,821,824
163,0.261,0.831,0.219,859,1153
164,0.319,0.854,0.099,334,386
165,0.991,0.997,0.694,601,1972
166,0.248,0.423,0.556,356,1124
167,0.932,0.44,0.148,395,1355
168,0.857,0.93,0.349,895,1679
169,0.642,0.471,0.483,396,895
170,0.794,0.936,0.949,372,855
171,0.914,0.692,0.827,249,1650
172,0.169,0.224,0.343,84,176
173,0.903,0.238,0.597,684,915
174,0.599,0.448,0.582,333,368
175,0.31,0.683,0.016,47,1567
176,0.49,0.273,0.167,754,1418
177,0.539,0.234,0.329,106,1836
178,0.125,0.745,0.917,131,314
179,0.28,0.604,0.439,584,1950
180,0.979,0.209,0.58,609,1282
181,0.917,0.19,0.655,117,532
182,0.267,0.835,0.884,190,1009
183,0.148,0.441,0.278,481,1081
184,0.738,0.261,0.965,842,891
185,0.914,0.477,0.533,66,513
186,0.004,0.833,0.274,440,1751
187,0.924,0.062,0.837,426,712
188,0.255,0.547,0.551,151,359
189,0.715,0.971,0.305,858,925
190,0.586,0.766,0.487,904,1577
191,0.966,0.559,0.264,118,1020
192,0.285,0.323,0.308,3,1533
193,0.168,0.384,0.694,632,812
194,0.992,0.651,0.035,210,465
195,0.754,0.719,0.463,897,1387
196,0.933,0.032,0.907,75,349
197,0.006,0.823,0.382,279,502
198,0.197,0.105,0.425,584,1454
199,0.243,0.399,0.141,827,1570
200,0.694,0.434,0.607,876,1588
201,0.225,0.088,0.892,309,423
202,0.798,0.971,0.662,550,1944
203,0.953,0.794,0.977,47,1409
204,0.074,0.295,0.629,71,603
205,0.363,0.71,0.136,55,904
206,0.964,0.472,0.709,22,1391
